Dataset,Qwen2.5-7B,Llama3.1-8B-Instruct,Llama3.1-8B,Qwen1.5-110B,Qwen2.5-72B,Llama3.1-70B-Instruct,australian-1,australian-2,australian-3,australian-4,australian-5,australian-6,australian-7,australian-8,cra_lendingclub-1,cra_lendingclub-2,cra_lendingclub-3,cra_lendingclub-4,cra_lendingclub-5,cra_lendingclub-6,fpb-1,fpb-2,fpb-3,fpb-4,german-1,german-2,german-3,german-4,german-5,german-6,german-7,german-8,headlines-1,headlines-2,headlines-3,ner-1,ner-2,ner-3,ner-4,sm_cikm-1,sm_cikm-2,sm_cikm-3,sm_cikm-4,sm_cikm-5,sm_cikm-6,sm_cikm-7,sm_cikm-8,sm_cikm-9,sm_cikm-10,sm_cikm-11,sm_cikm-12,sm_cikm-13,sm_cikm-14,sm_cikm-15,sm_cikm-16,sm_cikm-17,sm_acl-1,sm_acl-2,sm_acl-3,sm_acl-4,sm_acl-5,sm_acl-6,sm_acl-7,sm_acl-8,sm_bigdata-1,sm_bigdata-2,sm_bigdata-3,sm_bigdata-4,sm_bigdata-5,sm_bigdata-6,sm_bigdata-7,sm_bigdata-8,sm_bigdata-9,fiqasa-1,fiqasa-2,fiqasa-3,fiqasa-4,fiqasa-5,fiqasa-6,fiqasa-7,fiqasa-8
australian,43.17,44.6,43.17,43.17,43.17,47.48,66.91,46.76,47.48,63.31,47.48,53.96,69.06,59.71,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,42.45,41.73,42.45,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.88,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17
cra_lendingclub,80.82,76.33,57.34,80.82,47.01,53.07,74.02,76.44,79.64,75.88,79.3,80.12,80.42,80.34,80.82,97.51,93.98,97.4,89.15,93.57,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.38,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,77.11,80.82,80.82,76.25,80.82,80.79,80.82,80.71,79.67,80.82,79.67,79.26,79.38,80.82,80.82,80.82,80.82,78.86,80.82,80.82,80.01,80.82,80.82,79.38,80.82,80.79,80.82,80.82,80.82,80.82,80.82,80.82
fiqasa,38.3,40.43,56.17,63.4,64.26,68.51,40.43,41.7,39.15,51.91,39.57,37.45,39.15,46.81,45.11,48.51,45.53,49.36,45.11,51.91,50.64,52.34,50.21,48.94,37.45,38.72,34.04,34.47,33.19,35.74,35.74,35.32,33.62,32.77,29.79,42.98,41.28,52.34,39.15,38.3,40.85,43.83,37.87,42.55,47.23,40.85,43.83,48.94,49.36,55.74,34.47,33.62,54.89,34.04,44.68,33.62,37.45,44.68,40.0,47.23,43.83,41.7,37.45,31.91,44.26,58.3,66.38,42.13,56.6,63.83,41.7,46.81,66.38,78.3,71.49,78.72,85.11,71.91,69.36,78.72,77.45
fpb,76.08,32.78,30.72,70.72,78.35,78.04,32.37,33.09,34.64,54.85,32.27,33.09,35.05,42.78,74.85,72.16,74.54,73.51,75.05,73.4,82.58,84.43,85.57,84.43,74.02,73.81,75.46,76.19,75.15,74.12,76.19,75.77,78.56,78.04,76.6,75.57,75.36,71.96,75.57,75.67,74.74,74.74,75.57,74.54,73.92,75.46,74.33,74.33,71.55,71.86,75.77,75.77,70.52,75.98,72.78,75.88,75.98,76.8,75.88,72.16,76.19,73.3,76.39,75.67,74.54,72.37,70.52,74.95,73.92,72.06,75.36,74.85,67.94,36.91,40.52,29.38,28.66,40.1,36.49,29.38,30.72
german,65.0,49.5,66.0,66.0,66.5,43.5,46.5,49.5,44.0,54.0,46.5,41.5,63.5,66.0,59.0,66.0,61.5,35.5,56.0,40.0,36.5,40.0,35.5,35.5,66.0,69.5,67.5,67.0,66.0,66.0,68.0,66.5,65.5,65.0,65.5,36.5,46.0,33.5,56.5,41.5,39.5,37.0,38.5,44.0,35.0,38.0,39.5,39.0,41.0,41.0,35.5,40.5,40.0,38.0,41.5,40.5,64.0,64.5,48.0,66.0,40.0,53.5,35.5,48.5,36.5,35.5,39.0,37.5,37.0,64.0,35.0,37.5,54.0,63.5,66.5,66.0,64.5,63.0,65.5,62.0,64.5
headlines,74.81,59.95,59.95,62.96,77.84,77.53,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,72.19,73.97,74.39,71.99,73.01,73.84,77.51,78.25,78.1,77.94,72.25,71.8,74.55,74.15,72.1,69.66,74.32,74.08,93.21,95.87,97.76,68.58,72.91,64.07,73.58,73.95,73.26,73.16,73.85,72.9,72.31,73.25,73.66,72.72,72.09,72.02,74.66,74.54,68.28,74.33,71.64,73.96,74.08,71.52,72.68,71.25,73.78,70.8,74.78,75.08,71.57,68.77,65.3,71.07,69.57,65.69,70.54,71.41,67.05,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95
ner,21.75,0.62,9.01,17.89,9.36,9.52,8.13,3.45,7.53,23.06,7.86,10.15,14.12,17.88,29.23,25.64,21.96,28.88,24.59,25.09,24.66,23.5,21.93,22.62,27.86,24.71,23.79,26.38,28.97,26.64,21.69,25.28,23.77,24.8,23.36,57.82,47.07,59.42,46.84,21.87,24.57,24.15,22.13,23.28,25.37,24.52,21.59,25.82,23.48,26.59,19.54,22.61,30.18,21.76,25.79,21.15,26.27,20.12,27.12,26.94,26.15,26.99,28.8,25.14,23.29,27.98,26.94,21.0,26.68,25.79,24.25,26.87,24.39,26.46,19.39,8.26,3.0,14.61,5.68,9.14,8.55
sm_acl,51.1,51.4,51.34,49.3,51.56,49.38,51.18,51.77,51.75,51.91,51.32,52.04,50.78,51.4,51.02,50.94,50.65,51.08,50.86,50.48,50.56,50.43,50.38,50.51,50.81,51.13,50.94,51.16,51.02,50.94,51.34,51.1,50.67,50.7,50.75,50.65,51.21,50.75,51.29,50.54,50.89,51.8,50.94,50.27,51.16,50.43,50.4,51.08,50.81,50.56,50.08,50.73,51.53,50.7,52.34,50.32,52.69,52.77,53.82,50.65,55.99,52.1,52.39,52.12,52.07,52.15,57.42,52.5,52.23,58.06,52.42,51.96,53.84,50.83,51.13,51.1,51.4,51.67,51.24,51.32,52.02
sm_bigdata,55.3,55.57,52.79,51.02,50.27,47.76,55.23,53.6,54.35,55.3,55.91,55.64,55.57,54.62,55.16,54.96,55.16,55.23,55.1,55.23,55.84,56.05,55.71,55.91,55.43,55.37,55.37,55.37,55.03,55.1,55.37,55.64,54.96,55.84,55.77,55.5,55.37,55.3,55.57,53.94,52.11,51.29,54.01,52.51,52.45,54.08,51.56,51.43,51.97,50.07,53.8,53.6,51.97,54.08,52.99,54.48,44.63,45.65,47.08,44.16,47.15,46.94,50.14,50.75,49.18,57.54,51.09,49.59,50.75,54.28,51.15,53.74,54.28,55.03,55.3,53.53,53.74,54.14,53.67,52.65,54.14
sm_cikm,58.44,54.24,54.07,44.01,58.27,47.86,55.03,55.64,54.77,54.94,55.82,55.64,54.07,53.98,58.53,58.71,58.36,58.27,58.71,58.53,58.27,57.74,58.18,57.48,58.36,58.18,58.62,58.36,58.62,57.92,58.79,58.79,58.01,58.01,57.92,58.09,58.79,57.39,58.62,57.13,56.87,56.43,58.09,56.87,56.43,56.34,56.43,54.16,57.22,56.52,56.26,56.52,53.37,56.96,49.96,56.34,43.57,46.81,50.22,41.82,53.81,53.98,51.62,53.54,56.17,52.93,51.88,54.16,52.49,52.58,53.72,56.26,51.97,52.41,54.86,53.89,55.64,50.31,52.32,54.68,56.87
