Dataset,Qwen2.5-7B,Qwen1.5-110B,orca-math-word-problems-200k-1,orca-math-word-problems-200k-2,MWP-Instruct-1,GSM8K_zh-1,MATH_train-1,Arithmo-Data-1,MetaMathQA-1,MetaMathQA-2,MetaMath-GSM240K-1,school_math_0.25M-1,school_math_0.25M-2,MathInstruct-1,MathInstruct-2
agieval_aqua_rat,41.73,38.98,40.94,41.73,41.34,38.98,39.37,38.98,40.55,40.55,41.73,38.19,38.98,39.37,40.55
agieval_gaokao_mathcloze,16.95,38.14,12.71,13.56,11.86,7.63,17.8,13.56,5.93,5.08,14.41,9.32,6.78,9.32,17.8
agieval_gaokao_mathqa,49.86,77.78,50.71,51.28,51.57,51.57,50.71,49.86,52.99,53.85,50.14,45.3,45.58,50.43,48.43
agieval_math,19.8,19.3,19.8,17.2,20.2,20.6,19.6,17.0,28.7,28.1,21.1,16.7,16.9,18.2,20.1
agieval_sat_math,55.91,57.27,57.73,57.27,57.27,55.45,50.0,55.45,55.45,57.27,55.0,54.55,56.82,55.0,55.0
cmmlu_college_mathematics,45.71,47.62,50.48,46.67,51.43,52.38,45.71,49.52,48.57,47.62,49.52,50.48,52.38,47.62,47.62
cmmlu_elementary_mathematics,65.65,77.83,65.22,64.78,64.35,66.96,65.65,65.65,67.39,66.96,64.78,54.35,56.09,66.09,65.22
cmmlu_high_school_mathematics,61.59,77.44,64.63,64.02,60.98,61.59,62.8,63.41,64.02,62.8,64.63,56.71,57.32,64.02,64.63
gsm8k,84.08,84.91,84.0,83.85,82.79,74.37,76.19,80.14,83.85,83.47,84.15,81.5,82.18,79.15,80.97
mathqa,43.32,48.07,45.63,46.93,42.61,36.65,41.64,41.41,42.38,42.38,41.17,40.13,40.57,40.94,41.27
mgsm_native_cot_zh,66.4,68.8,67.6,70.0,66.0,73.6,66.4,68.0,68.0,68.8,71.6,61.2,57.2,65.6,68.0
minerva_math,40.16,47.9,40.9,41.56,39.42,29.64,41.96,45.12,32.2,30.32,36.48,43.14,42.4,27.58,29.94
abstract_algebra,54.0,53.0,52.0,52.0,55.0,56.0,55.0,53.0,56.0,54.0,54.0,51.0,52.0,52.0,54.0
college_mathematics,53.0,52.0,52.0,55.0,53.0,51.0,58.0,53.0,53.0,55.0,56.0,48.0,51.0,53.0,56.0
elementary_mathematics,72.75,78.84,72.75,73.28,75.13,74.07,73.54,75.13,73.81,73.02,73.02,70.9,71.96,73.54,74.34
high_school_mathematics,55.93,60.0,55.19,55.19,55.56,55.93,55.93,55.93,57.04,56.67,55.56,50.74,51.11,54.81,55.19
Avg,51.68,57.99,52.02,52.14,51.78,50.4,51.27,51.57,51.87,51.62,52.08,48.26,48.7,49.79,51.19
