Dataset,Qwen2.5-7B,Flan-PaLM-540B,medqa_train&pubmed_causal-1,medqa_train-1,pubmed_causal-1,medalpaca_cleaned-1,medqa_train&medmcqa_train-1,medmcqa_train-1,AlpaCare-1,ChatDoctor-1,ChatDoctor-2,AlpaCare&ChatDoctor-1,AlpaCare&ChatDoctor-2,medalpaca_cleaned&AlpaCare&ChatDoctor-1,medalpaca_cleaned&AlpaCare&ChatDoctor-2
medmcqa,59.93,57.6,59.48,59.48,60.32,59.81,62.49,62.01,59.77,60.29,60.15,58.93,58.38,59.72,59.55
medqa_4options,64.18,67.6,65.59,65.59,63.55,63.86,64.81,63.63,62.92,63.63,63.32,62.14,61.67,62.61,62.37
anatomy,71.85,63.7,71.85,71.85,71.85,70.37,70.37,71.11,71.85,72.59,73.33,70.37,70.37,70.37,71.11
clinical_knowledge,77.36,80.4,77.36,77.74,78.11,78.87,78.49,79.25,78.49,77.74,76.6,78.49,78.11,78.11,77.74
college_biology,82.64,88.9,86.11,84.72,81.94,84.72,84.03,85.42,84.03,84.03,81.94,82.64,82.64,84.72,86.11
college_medicine,69.36,76.3,68.79,69.94,69.36,69.94,68.79,68.21,68.79,67.05,67.63,69.36,68.79,68.79,71.1
medical_genetics,87.0,75.0,87.0,88.0,88.0,85.0,89.0,89.0,87.0,86.0,88.0,86.0,87.0,85.0,83.0
professional_medicine,78.68,83.8,76.84,79.78,77.57,77.94,78.68,76.47,77.21,77.57,77.21,75.74,76.1,77.21,76.84
pubmedqa,75.2,79.0,76.0,75.8,76.8,75.8,76.8,75.8,75.0,74.8,73.8,74.8,75.0,76.2,75.6
Avg,74.02,74.7,74.34,74.77,74.17,74.03,74.83,74.54,73.9,73.74,73.55,73.16,73.12,73.64,73.71
